filename,crop_file,box_rank,crop_tag,box_conf,x1,y1,x2,y2,plate_truth
59.jpg,59__b0_A.png,0,A,0.9485940933227539,2208,471,2521,561,SZ9991L
59.jpg,59__b0_B.png,0,B,0.9485940933227539,2208,471,2521,561,SZ9991L
26.jpg,26__b0_A.png,0,A,0.9725735187530518,1811,397,2225,520,ST2232L
26.jpg,26__b0_B.png,0,B,0.9725735187530518,1811,397,2225,520,ST2232L
149.jpg,149__b0_A.png,0,A,0.9667433500289917,1597,805,1851,875,ST8055V
149.jpg,149__b0_B.png,0,B,0.9667433500289917,1597,805,1851,875,ST8055V
2.jpg,2__b0_A.png,0,A,0.9338272213935852,2704,223,3262,392,SK028SE
2.jpg,2__b0_B.png,0,B,0.9338272213935852,2704,223,3262,392,SK028SE
9.jpg,9__b0_A.png,0,A,0.9907708168029785,2601,262,3093,406,SM5552E
9.jpg,9__b0_B.png,0,B,0.9907708168029785,2601,262,3093,406,SM5552E
73.jpg,73__b0_A.png,0,A,0.9472947120666504,2022,415,2337,503,STA43629
73.jpg,73__b0_B.png,0,B,0.9472947120666504,2022,415,2337,503,STA43629
143.jpg,143__b0_A.png,0,A,0.7662084102630615,1047,607,1141,637,SO0665L
143.jpg,143__b0_B.png,0,B,0.7662084102630615,1047,607,1141,637,SO0665L
52.jpg,52__b0_A.png,0,A,0.9295241832733154,1891,426,2265,537,SJ99531
52.jpg,52__b0_B.png,0,B,0.9295241832733154,1891,426,2265,537,SJ99531
97.jpg,97__b0_A.png,0,A,0.2880096733570099,981,678,1300,778,CB441ML
97.jpg,97__b0_B.png,0,B,0.2880096733570099,981,678,1300,778,CB441ML
62.jpg,62__b0_A.png,0,A,0.9789324402809143,2191,540,2508,638,SPS97077
62.jpg,62__b0_B.png,0,B,0.9789324402809143,2191,540,2508,638,SPS97077
4.jpg,4__b0_A.png,0,A,0.537456750869751,1700,261,2345,455,ST8055V
4.jpg,4__b0_B.png,0,B,0.537456750869751,1700,261,2345,455,ST8055V
151.jpg,151__b0_A.png,0,A,0.9727688431739807,1505,813,1737,881,SG287AT
151.jpg,151__b0_B.png,0,B,0.9727688431739807,1505,813,1737,881,SG287AT
148.jpg,148__b0_A.png,0,A,0.6890817284584045,921,741,1007,767,SO68659
148.jpg,148__b0_B.png,0,B,0.6890817284584045,921,741,1007,767,SO68659
12.jpg,12__b0_A.png,0,A,0.9245684742927551,1501,428,1879,536,SK293VV
12.jpg,12__b0_B.png,0,B,0.9245684742927551,1501,428,1879,536,SK293VV
105.jpg,105__b0_A.png,0,A,0.875288724899292,1291,710,1601,800,SJ6479A
105.jpg,105__b0_B.png,0,B,0.875288724899292,1291,710,1601,800,SJ6479A
106.jpg,106__b0_A.png,0,A,0.41121721267700195,923,647,1227,747,SH9264A
106.jpg,106__b0_B.png,0,B,0.41121721267700195,923,647,1227,747,SH9264A
20.jpg,20__b0_A.png,0,A,0.9756271243095398,1659,412,2000,507,SL2702J
20.jpg,20__b0_B.png,0,B,0.9756271243095398,1659,412,2000,507,SL2702J
6.jpg,,-1,,0.0,-1,-1,-1,-1,SLU1VG6
119.jpg,119__b0_A.png,0,A,0.7686209082603455,1317,658,1615,744,SO6321W
119.jpg,119__b0_B.png,0,B,0.7686209082603455,1317,658,1615,744,SO6321W
49.jpg,49__b0_A.png,0,A,0.9814853668212891,1604,553,2018,659,SC5423W
49.jpg,49__b0_B.png,0,B,0.9814853668212891,1604,553,2018,659,SC5423W
8.jpg,,-1,,0.0,-1,-1,-1,-1,ST8936T
122.jpg,122__b0_A.png,0,A,0.2509706914424896,757,684,1053,780,KTTRJ07
122.jpg,122__b0_B.png,0,B,0.2509706914424896,757,684,1053,780,KTTRJ07
130.jpg,130__b0_A.png,0,A,0.7341829538345337,1378,645,1696,731,SK807WM
130.jpg,130__b0_B.png,0,B,0.7341829538345337,1378,645,1696,731,SK807WM
15.jpg,15__b0_A.png,0,A,0.9679226279258728,1751,398,2116,503,KOS8900E
15.jpg,15__b0_B.png,0,B,0.9679226279258728,1751,398,2116,503,KOS8900E
154.jpg,154__b0_A.png,0,A,0.804896891117096,1082,835,1381,928,SG2947W
154.jpg,154__b0_B.png,0,B,0.804896891117096,1082,835,1381,928,SG2947W
161.jpg,161__b0_A.png,0,A,0.6606568098068237,1209,817,1529,911,WBR6P58
161.jpg,161__b0_B.png,0,B,0.6606568098068237,1209,817,1529,911,WBR6P58
94.jpg,94__b0_A.png,0,A,0.9720968008041382,2357,432,2687,530,SB262FF
94.jpg,94__b0_B.png,0,B,0.9720968008041382,2357,432,2687,530,SB262FF
104.jpg,104__b0_A.png,0,A,0.9620640873908997,1622,659,1876,727,SJZJN07
104.jpg,104__b0_B.png,0,B,0.9620640873908997,1622,659,1876,727,SJZJN07
124.jpg,124__b0_A.png,0,A,0.9786373376846313,1277,655,1541,738,SW55815
124.jpg,124__b0_B.png,0,B,0.9786373376846313,1277,655,1541,738,SW55815
70.jpg,70__b0_A.png,0,A,0.9425852298736572,2332,442,2663,541,SG7428J
70.jpg,70__b0_B.png,0,B,0.9425852298736572,2332,442,2663,541,SG7428J
